"","tourney_date","tourney_name","surface","draw_size","tourney_level","match_num","winner_id","loser_id","best_of","winner_rank","winner_rank_points","loser_rank","loser_rank_points","player_rank","player_id"
"144",2012-04-30,"Munich","Clay",28,"A",24,103852,106071,"3",16,1795,33,1165,16,"Feliciano Lopez"
"145",2012-04-30,"Munich","Clay",28,"A",26,104259,103852,"3",34,1155,16,1795,16,"Feliciano Lopez"
"146",2012-05-06,"Madrid Masters","Clay",56,"M",3,103781,103852,"3",33,1182,16,1840,16,"Feliciano Lopez"
"147",2012-05-13,"Rome Masters","Clay",56,"M",22,104719,103852,"3",26,1295,17,1760,17,"Feliciano Lopez"
"148",2012-05-27,"Roland Garros","Clay",128,"G",24,103722,103852,"5",156,336,17,1725,17,"Feliciano Lopez"
"149",2012-06-11,"Queen's Club","Grass",56,"A",28,103852,104327,"3",17,1725,71,655,17,"Feliciano Lopez"
"150",2012-06-11,"Queen's Club","Grass",56,"A",42,104731,103852,"3",30,1215,17,1725,17,"Feliciano Lopez"
"151",2012-06-25,"Wimbledon","Grass",128,"G",57,103813,103852,"5",44,932,17,1725,17,"Feliciano Lopez"
"152",2012-07-16,"Gstaad","Clay",28,"A",7,103852,104494,"3",30,1275,102,548,30,"Feliciano Lopez"
"153",2012-07-16,"Gstaad","Clay",28,"A",17,103852,104225,"3",30,1275,90,579,30,"Feliciano Lopez"
"154",2012-07-16,"Gstaad","Clay",28,"A",23,105064,103852,"3",60,767,30,1275,30,"Feliciano Lopez"
"155",2012-07-25,"London Olympics","Grass",64,"A",27,103852,104098,"3",30,1275,138,395,30,"Feliciano Lopez"
"156",2012-07-25,"London Olympics","Grass",64,"A",46,103852,104338,"3",30,1275,10,2695,30,"Feliciano Lopez"
"157",2012-07-25,"London Olympics","Grass",64,"A",55,104542,103852,"3",6,5230,30,1275,30,"Feliciano Lopez"
"158",2012-08-12,"Cincinnati Masters","Hard",56,"M",4,103888,103852,"3",20,1715,31,1255,31,"Feliciano Lopez"
"159",2012-08-19,"Winston-Salem","Hard",48,"A",26,103852,105385,"3",31,1220,80,630,31,"Feliciano Lopez"
"160",2012-08-19,"Winston-Salem","Hard",48,"A",37,105023,103852,"3",28,1295,31,1220,31,"Feliciano Lopez"
"161",2012-08-27,"US Open","Hard",128,"G",20,103852,104898,"5",31,1220,48,875,31,"Feliciano Lopez"
"162",2012-08-27,"US Open","Hard",128,"G",74,103852,104665,"5",31,1220,37,1065,31,"Feliciano Lopez"
"163",2012-08-27,"US Open","Hard",128,"G",101,104918,103852,"5",4,7290,31,1220,31,"Feliciano Lopez"
"164",2012-09-24,"Kuala Lumpur","Hard",28,"A",3,103852,105041,"3",32,1220,66,688,32,"Feliciano Lopez"
"165",2012-09-24,"Kuala Lumpur","Hard",28,"A",14,104997,103852,"3",97,562,32,1220,32,"Feliciano Lopez"
"166",2012-10-01,"Beijing","Hard",32,"A",15,103852,105992,"3",30,1220,54,785,30,"Feliciano Lopez"
"167",2012-10-01,"Beijing","Hard",32,"A",24,103852,104229,"3",30,1220,64,694,30,"Feliciano Lopez"
"168",2012-10-01,"Beijing","Hard",32,"A",28,103852,105023,"3",30,1220,26,1440,30,"Feliciano Lopez"
"169",2012-10-01,"Beijing","Hard",32,"A",30,104542,103852,"3",7,4520,30,1220,30,"Feliciano Lopez"
"170",2012-10-07,"Shanghai Masters","Hard",56,"M",23,103852,104268,"3",29,1355,53,775,29,"Feliciano Lopez"
"171",2012-10-07,"Shanghai Masters","Hard",56,"M",39,103852,104259,"3",29,1355,19,1855,29,"Feliciano Lopez"
"172",2012-10-07,"Shanghai Masters","Hard",56,"M",48,104925,103852,"3",2,10970,29,1355,29,"Feliciano Lopez"
"173",2012-10-15,"Stockholm","Hard",28,"A",3,103852,103908,"3",34,1085,100,538,34,"Feliciano Lopez"
"174",2012-10-15,"Stockholm","Hard",28,"A",14,104660,103852,"3",92,563,34,1085,34,"Feliciano Lopez"
"175",2012-10-21,"Valencia","Hard",32,"A",3,105023,103852,"3",23,1560,35,1085,35,"Feliciano Lopez"
"176",2012-10-29,"Paris Masters","Hard",48,"M",10,105077,103852,"3",48,830,36,1085,36,"Feliciano Lopez"
"177",2012-12-31,"Doha","Hard",32,"A",8,103997,103852,"3",74,675,40,1005,40,"Feliciano Lopez"
"178",2013-01-07,"Sydney","Hard",28,"A",6,103852,104871,"3",42,1005,37,1063,42,"Feliciano Lopez"
"179",2013-01-07,"Sydney","Hard",28,"A",16,104731,103852,"3",36,1065,42,1005,42,"Feliciano Lopez"
"180",2013-01-14,"Australian Open","Hard",128,"G",3,103852,104516,"5",42,1005,198,241,42,"Feliciano Lopez"
"181",2013-01-14,"Australian Open","Hard",128,"G",66,103285,103852,"5",34,1090,42,1005,42,"Feliciano Lopez"
"182",2013-02-18,"Memphis","Hard",32,"A",14,103852,103794,"3",47,870,64,765,47,"Feliciano Lopez"
"183",2013-02-18,"Memphis","Hard",32,"A",23,103852,103163,"3",47,870,18,1815,47,"Feliciano Lopez"
"184",2013-02-18,"Memphis","Hard",32,"A",28,103852,106058,"3",47,870,168,328,47,"Feliciano Lopez"
"185",2013-02-18,"Memphis","Hard",32,"A",30,103852,104797,"3",47,870,63,770,47,"Feliciano Lopez"
"186",2013-02-18,"Memphis","Hard",32,"A",31,105453,103852,"3",22,1690,47,870,47,"Feliciano Lopez"
"187",2013-03-07,"Indian Wells Masters","Hard",96,"M",28,105208,103852,"3",67,705,34,1125,34,"Feliciano Lopez"
"188",2013-04-05,"Davis Cup G1 R2: GBR vs RUS","Hard",4,"D",1,104098,105554,"5",67,719,325,131,325,"Daniel Evans"
"189",2013-04-05,"Davis Cup G1 R2: GBR vs RUS","Hard",4,"D",5,105554,105539,"5",325,131,80,649,325,"Daniel Evans"
"190",2013-05-05,"Madrid Masters","Clay",56,"M",19,104593,103852,"3",52,837,45,930,45,"Feliciano Lopez"
"191",2013-05-12,"Rome Masters","Clay",56,"M",17,104871,103852,"3",29,1301,43,930,43,"Feliciano Lopez"
"192",2013-05-27,"Roland Garros","Clay",128,"G",45,103852,104719,"5",43,930,33,1145,43,"Feliciano Lopez"
"193",2013-05-27,"Roland Garros","Clay",128,"G",87,103852,105311,"5",43,930,119,447,43,"Feliciano Lopez"
"194",2013-05-27,"Roland Garros","Clay",128,"G",108,103970,103852,"5",5,6740,43,930,43,"Feliciano Lopez"
"195",2013-06-10,"Queen's Club","Grass",56,"A",17,105554,105550,"3",277,166,75,674,277,"Daniel Evans"
"196",2013-06-10,"Queen's Club","Grass",56,"A",20,103852,105575,"3",39,1010,69,711,39,"Feliciano Lopez"
"197",2013-06-10,"Queen's Club","Grass",56,"A",35,105554,103813,"3",277,166,37,1075,277,"Daniel Evans"
"198",2013-06-10,"Queen's Club","Grass",56,"A",38,103852,103898,"3",39,1010,32,1200,39,"Feliciano Lopez"
"199",2013-06-10,"Queen's Club","Grass",56,"A",46,105223,105554,"3",8,3960,277,166,277,"Daniel Evans"
"200",2013-06-10,"Queen's Club","Grass",56,"A",47,105227,103852,"3",12,2570,39,1010,39,"Feliciano Lopez"
"201",2013-06-17,"Eastbourne","Grass",28,"A",4,103852,103813,"3",39,1015,37,1075,39,"Feliciano Lopez"
"202",2013-06-17,"Eastbourne","Grass",28,"A",15,103852,104338,"3",39,1015,20,1740,39,"Feliciano Lopez"
"203",2013-06-17,"Eastbourne","Grass",28,"A",22,103852,104269,"3",39,1015,58,785,39,"Feliciano Lopez"
"204",2013-06-17,"Eastbourne","Grass",28,"A",25,103852,104471,"3",39,1015,54,808,39,"Feliciano Lopez"
"205",2013-06-17,"Eastbourne","Grass",28,"A",27,103852,104468,"3",39,1015,17,1985,39,"Feliciano Lopez"
"206",2013-06-24,"Wimbledon","Grass",128,"G",5,103852,104468,"5",32,1245,17,2090,32,"Feliciano Lopez"
"207",2013-06-24,"Wimbledon","Grass",128,"G",67,103852,103908,"5",32,1245,82,616,32,"Feliciano Lopez"
"208",2013-06-24,"Wimbledon","Grass",128,"G",98,103163,103852,"5",13,2425,32,1245,32,"Feliciano Lopez"
"209",2013-07-15,"Hamburg","Clay",48,"A",19,103852,105526,"3",31,1325,105,536,31,"Feliciano Lopez"
"210",2013-07-15,"Hamburg","Clay",48,"A",34,104252,103852,"3",45,905,31,1325,31,"Feliciano Lopez"
"211",2013-07-22,"Gstaad","Clay",28,"A",10,103852,103401,"3",29,1325,183,262,29,"Feliciano Lopez"
"212",2013-07-22,"Gstaad","Clay",28,"A",19,103852,105723,"3",29,1325,82,634,29,"Feliciano Lopez"
"213",2013-07-22,"Gstaad","Clay",28,"A",24,103852,104527,"3",29,1325,10,2915,29,"Feliciano Lopez"
"214",2013-07-22,"Gstaad","Clay",28,"A",26,104898,103852,"3",57,817,29,1325,29,"Feliciano Lopez"
"215",2013-08-05,"Canada Masters","Hard",56,"M",23,105208,103852,"3",38,1035,29,1345,29,"Feliciano Lopez"
"216",2013-08-11,"Cincinnati Masters","Hard",56,"M",10,103852,105453,"3",27,1355,12,2485,27,"Feliciano Lopez"
"217",2013-08-11,"Cincinnati Masters","Hard",56,"M",31,103852,104871,"3",27,1355,30,1281,27,"Feliciano Lopez"
"218",2013-08-11,"Cincinnati Masters","Hard",56,"M",44,105223,103852,"3",7,4740,27,1355,27,"Feliciano Lopez"
"219",2013-08-26,"US Open","Hard",128,"G",37,103852,103722,"5",26,1435,206,223,26,"Feliciano Lopez"
"220",2013-08-26,"US Open","Hard",128,"G",56,105554,105453,"5",179,269,12,2405,179,"Daniel Evans"
